Date,AAPL,GOOG,FB
6/25/2020,90.599533,1441.329956,235.679993
6/26/2020,87.815788,1359.900024,216.080002
6/29/2020,89.839653,1394.969971,220.639999
6/30/2020,90.5896,1413.609985,227.070007
7/1/2020,90.418251,1438.040039,237.550003
7/2/2020,90.418251,1464.699951,233.419998
7/6/2020,92.83696,1495.699951,240.279999
7/7/2020,92.548889,1485.180054,240.860001
7/8/2020,94.704369,1496,243.580002
7/9/2020,95.111641,1510.98999,244.5
7/10/2020,95.278015,1541.73999,245.070007
7/13/2020,94.83847,1511.339966,239
7/14/2020,96.407898,1520.579956,239.729996
7/15/2020,97.07093,1513.640015,240.279999
7/16/2020,95.876472,1518,240.929993
7/17/2020,95.682777,1515.550049,242.029999
7/20/2020,97.699188,1565.719971,245.419998
7/21/2020,96.350784,1558.420044,241.75
7/22/2020,96.621452,1568.48999,239.869995
7/23/2020,92.223587,1515.680054,232.600006
7/24/2020,91.995125,1511.869995,230.710007
7/27/2020,94.17543,1530.199951,233.5
7/28/2020,92.628365,1500.339966,230.119995
7/29/2020,94.403893,1522.02002,233.289993
7/30/2020,95.546204,1531.449951,234.5
7/31/2020,105.548805,1482.959961,253.669998
8/3/2020,108.208389,1474.449951,251.960007
8/4/2020,108.931015,1464.969971,249.830002
8/5/2020,109.325851,1473.609985,249.119995
8/6/2020,113.140152,1500.099976,265.279999
8/7/2020,110.567833,1494.48999,268.440002
8/10/2020,112.174911,1496.099976,263
8/11/2020,108.838837,1480.319946,256.130005
8/12/2020,112.456024,1506.619995,259.890015
8/13/2020,114.446213,1518.449951,261.299988
8/14/2020,114.344223,1507.72998,261.23999
8/17/2020,114.045685,1517.97998,261.160004
8/18/2020,114.99601,1558.599976,262.339996
8/19/2020,115.140297,1547.530029,262.589996
8/20/2020,117.695213,1581.75,269.01001
8/21/2020,123.760338,1580.420044,267.01001
8/24/2020,125.24054,1588.199951,271.390015
8/25/2020,124.213104,1608.219971,280.820007
8/26/2020,125.902283,1652.380005,303.910004
8/27/2020,124.397202,1634.329956,293.220001
8/28/2020,124.195694,1644.410034,293.660004
8/31/2020,128.40744,1634.180054,293.200012
9/1/2020,133.522247,1660.709961,295.440002
9/2/2020,130.755875,1728.280029,302.5
9/3/2020,120.287437,1641.839966,291.119995
9/4/2020,120.36705,1591.040039,282.730011
9/8/2020,112.266953,1532.390015,271.160004
9/9/2020,116.744888,1556.959961,273.720001
9/10/2020,112.93367,1532.02002,268.089996
9/11/2020,111.450974,1520.719971,266.609985
9/14/2020,114.794502,1519.280029,266.149994
9/15/2020,114.973625,1541.439941,272.420013
9/16/2020,111.58033,1520.900024,263.519989
9/17/2020,109.79911,1495.530029,254.820007
9/18/2020,106.316261,1459.98999,252.529999
9/21/2020,109.540382,1431.160034,248.149994
9/22/2020,111.261894,1465.459961,254.75
9/23/2020,106.594902,1415.209961,249.020004
9/24/2020,107.689507,1428.290039,249.529999
9/25/2020,111.729591,1444.959961,254.820007
9/28/2020,114.396454,1464.52002,256.820007
9/29/2020,113.530724,1469.329956,261.790009
9/30/2020,115.242294,1469.599976,261.899994
10/1/2020,116.217491,1490.089966,266.630005
10/2/2020,112.465973,1458.420044,259.940002
10/5/2020,115.928909,1486.02002,264.649994
10/6/2020,112.605286,1453.439941,258.660004
10/7/2020,114.515877,1460.290039,258.119995
10/8/2020,114.40641,1485.930054,263.76001
10/9/2020,116.396606,1515.219971,264.450012
10/12/2020,123.790192,1569.150024,275.75
10/13/2020,120.506355,1571.680054,276.140015
10/14/2020,120.595924,1568.079956,271.820007
10/15/2020,120.118271,1559.130005,266.720001
10/16/2020,118.436554,1573.01001,265.929993
10/19/2020,115.411461,1534.609985,261.399994
10/20/2020,116.933968,1555.930054,267.559998
10/21/2020,116.297104,1593.310059,278.730011
10/22/2020,115.182587,1615.329956,278.119995
10/23/2020,114.476074,1641,284.790009
10/26/2020,114.486023,1590.449951,277.109985
10/27/2020,116.028427,1604.26001,283.290009
10/28/2020,110.654892,1516.619995,267.670013
10/29/2020,114.7547,1567.23999,280.829987
10/30/2020,108.326363,1621.01001,263.109985
11/2/2020,108.236809,1626.030029,261.359985
11/3/2020,109.898621,1650.209961,265.299988
11/4/2020,114.386513,1749.130005,287.380005
11/5/2020,118.44651,1763.369995,294.679993
11/6/2020,118.311951,1761.75,293.410004
11/9/2020,115.949493,1763,278.769989
11/10/2020,115.600609,1740.390015,272.429993
11/11/2020,119.10939,1752.709961,276.480011
11/12/2020,118.830284,1749.839966,275.079987
11/13/2020,118.880127,1777.02002,276.950012
11/16/2020,119.916817,1781.380005,278.959991
11/17/2020,119.009712,1770.150024,275
11/18/2020,117.654045,1746.780029,271.970001
11/19/2020,118.262108,1763.920044,272.940002
11/20/2020,116.96624,1742.189941,269.700012
11/23/2020,113.487358,1734.859985,268.429993
11/24/2020,114.803154,1768.880005,276.920013
11/25/2020,115.660416,1771.430054,275.589996
11/27/2020,116.218628,1793.189941,277.809998
11/30/2020,118.670799,1760.73999,276.970001
12/1/2020,122.329109,1798.099976,286.549988
12/2/2020,122.687958,1827.949951,287.519989
12/3/2020,122.548409,1826.77002,281.850006
12/4/2020,121.860611,1827.98999,279.700012
12/7/2020,123.355827,1819.47998,285.579987
12/8/2020,123.983818,1818.550049,283.399994
12/9/2020,121.392097,1784.130005,277.920013
12/10/2020,122.84745,1775.329956,277.119995
12/11/2020,122.020096,1781.77002,273.549988
12/14/2020,121.392097,1760.060059,274.190002
12/15/2020,127.472664,1767.77002,275.549988
12/16/2020,127.402893,1763,275.670013
12/17/2020,128.290054,1747.900024,274.480011
12/18/2020,126.256561,1731.01001,276.399994
12/21/2020,127.821548,1739.369995,272.790009
12/22/2020,131.45993,1723.5,267.089996
12/23/2020,130.542862,1732.380005,268.109985
12/24/2020,131.549637,1738.849976,267.399994
12/28/2020,136.254608,1776.089966,277
12/29/2020,134.440399,1758.719971,276.779999
12/30/2020,133.294067,1739.52002,271.869995
